City Name,City ID,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
kavieng,2094342,-2.5744,150.7967,302.84,67,96,2.13,PG,10/01/2021
lima,3936456,-12.0432,-77.0282,295.15,83,75,5.66,PE,10/01/2021
gauribidanur,1271459,13.6111,77.5167,297.59,100,40,3.6,IN,10/01/2021
wahiawa,5853992,21.5028,-158.0236,298.71,78,90,3.09,US,10/01/2021
ambulu,1621313,-8.345,113.6058,303.09,70,50,3.4,ID,10/01/2021
benevides,3405792,-1.3614,-48.2447,298.15,88,0,2.57,BR,10/01/2021
saldanha,3361934,-33.0117,17.9442,290.15,82,44,3.09,ZA,10/01/2021
onda,2513115,39.9667,-0.25,277.04,88,100,1.91,ES,10/01/2021
alofi,4036284,-19.0595,-169.9187,301.15,78,29,5.66,NU,10/01/2021
batagay,2027044,67.6333,134.6333,243.48,86,100,0.86,RU,10/01/2021
sao felix do xingu,3388847,-6.6447,-51.995,295.38,92,45,0.38,BR,10/01/2021
sistranda,3139597,63.7256,8.834,274.15,69,75,7.2,NO,10/01/2021
ada,5583739,43.4166,-116.1262,273.15,86,1,3.09,US,10/01/2021
novikovo,487928,51.1537,37.8879,271.59,95,92,6.08,RU,10/01/2021
dengzhou,1812988,37.8086,120.7508,271.0,89,36,7.35,CN,10/01/2021
iberia,4328254,29.9502,-91.7507,278.71,80,1,2.06,US,10/01/2021
kolosovka,1502879,56.4678,73.611,256.42,94,85,3.28,RU,10/01/2021
olonets,515403,60.9847,32.9698,254.61,92,16,1.88,RU,10/01/2021
shilovo,494427,54.3204,40.874,267.58,98,100,3.59,RU,10/01/2021
salinopolis,3389822,-0.6136,-47.3561,299.39,84,52,4.28,BR,10/01/2021
geraldton,2070998,-28.7667,114.6,300.15,57,75,9.26,AU,10/01/2021
malayal,1702944,7.208,121.942,303.15,74,40,2.57,PH,10/01/2021
kasempa,912628,-13.4584,25.8338,291.24,92,100,2.16,ZM,10/01/2021
cherskiy,2126199,68.75,161.3,240.18,85,99,1.66,RU,10/01/2021
prenzlau,2852218,53.3167,13.8667,273.71,100,32,2.68,DE,10/01/2021
pisco,3932145,-13.7,-76.2167,293.15,88,0,3.6,PE,10/01/2021
colesberg,1013076,-30.72,25.0972,290.32,75,0,5.22,ZA,10/01/2021
pangody,1495626,65.85,74.4859,242.06,86,10,4.94,RU,10/01/2021
ostrovnoy,556268,68.0531,39.5131,258.79,92,95,5.06,RU,10/01/2021
bastia,3034639,42.6667,9.3333,281.15,93,75,3.09,FR,10/01/2021
acari,3948613,-15.4311,-74.6158,295.33,70,100,1.93,PE,10/01/2021
cairns,2172797,-16.9167,145.7667,299.82,100,75,0.51,AU,10/01/2021
tateyama,1850523,34.9833,139.8667,281.15,39,20,3.09,JP,10/01/2021
bengkulu,1649150,-3.8004,102.2655,302.76,60,99,2.37,ID,10/01/2021
thompson,6165406,55.7435,-97.8558,259.15,85,1,1.54,CA,10/01/2021
saint-denis,2980915,48.9167,2.3333,272.59,100,90,2.06,FR,10/01/2021
